Bedtime Stories,Disney,25,63,rivalry,Comedy,3681,7457,110.10,108.25,218.35,80.00,272.94%,27.5,,,http://www.the-numbers.com/movies/2008/BEDTM.php,,$85351000,,$85.4,$80000000,$80
Beverly Hills Chihuahua,Disney,41,56,Journey and Return,Adventure,3215,9114,94.50,50.70,145.20,20.00,726.00%,29.3,,,http://www.the-numbers.com/movies/2008/BHCHI.php,,$93118082,,$116,$20000000,$20
Body of Lies,Warner Bros.,53,65,Temptation,Action,2710,4754,39.19,75.70,114.89,67.50,170.21%,12.9,,,,,$39189913,,$17.5,$67500000,$67.5
Bolt,Disney,89,76,rescue,Animation,3651,7182,109.90,195.93,305.83,150.00,203.88%,26.2,,,,,$109897000,,289.3,$150000000,$150
Burn After Reading,Relativity Media,78,64,Comedy,Comedy,2651,7215,60.36,103.36,163.72,37.00,442.47%,19.13,,,,,$60355347,,$154.8,$37000000,$37
Cadillac Records,Sony,67,64,Rags to Riches,Biography,687,5015,8.20,0.68,8.88,12.00,73.96%,3.4,,,,,$8195551,,,$12000000,$12
Changeling,Independent,62,84,quest,Drama,1850,5055,35.73,77.28,113.01,55.00,205.47%,9.4,,,,,$35694000,,66.9,$55000000,$55
City of Ember,Independent,52,48,escape,Adventure,2022,1548,7.84,10.05,17.89,38.00,47.08%,3.13,,,http://www.the-numbers.com/movies/2008/CEMBR.php,,$7841892,,,$38000000,$38
Cloverfield,Paramount,77,67,Monster Force,Action,3411,11744,80.05,90.72,170.77,25.00,683.07%,40.1,,,,,$80048433,,170.8,$25000000,$25
College Road Trip,Buena Vista,13,56,comedy,Adventure,2706,5026,45.61,5.93,51.54,140.00,36.81%,13.6,,,,,$45610425,,51.5,$140000000,$140
Death Race,Universal,42,69,escape,Action,2532,4985,36.10,39.36,75.46,45.00,167.68%,12.62,,,,,$36097530,,73.8,$45000000,$45
"Definitely, Maybe",Universal,71,72,Discovery,Comedy,2204,4430,32.01,23.20,55.21,7.00,788.76%,9.76,,,,,$32013120,,55,$7000000,$7
Disaster Movie,Lionsgate,2,28,Rescue,Comedy,2642,2209,14.19,20.62,34.81,20.00,174.05%,5.8,,,,,$14190901,,34.5,$20000000,$20
Doomsday,Relativity Media,48,47,Quest,Action,1936,2544,11.01,11.20,22.21,33.00,67.30%,4.9,,,,,$11008770,,21.6,$33000000,$33
Doubt,Independent,78,75,riddle,Drama,1267,4214,18.73,17.46,36.19,25.00,144.76%,5.3,,,,,$18730000,,18.7,$25000000,$25
Dr. Seuss' Horton Hears a Who!,Fox,79,75,rescue,Animation,3954,11384,154.53,142.60,297.13,85.00,349.56%,45,,,,,$154529439,,297,$85000000,$85
Drillbit Taylor,Paramount,26,49,Comedy,Comedy,3056,3373,32.86,16.82,49.68,40.00,124.21%,10.3,,,,,$32862104,,49.7,$40000000,$40
Eagle Eye,Paramount,27,72,pursuit,Action,3510,8305,101.18,76.62,177.80,80.00,222.25%,29.2,,,,,$101176114,,175.9,$80000000,$80
Expelled: No Intelligence Allowed,,10,42,comedy,Documentary,1052,2824,7.72,0.00,7.72,3.50,220.59%,2.97,,,,,$7720487,,,3500000,3.5
Fireproof,Independent,40,51,love,Drama,839,8148,33.45,0.02,33.47,0.50,6693.40%,6.84,,,http://boxofficemojo.com/movies/?page=main&id=Fireproof.htm,,$33149106,,,$500000,$0.5
First Sunday,Sony,13,59,Comedy,Comedy,2213,8004,37.93,0.87,38.80,13.00,298.48%,17.7,,,,,$37931869,,38.8,$13000000,$13
